Mobile Key,Delay From Due Date,Num Delay Payment Car,Wallet Balance,outflow,inflow,mothly_avg_outflow,mothly_avg_inflow,charity_amount,avg_municipality_amount,investment_amount,is912,isfirstregion,MobilePrice,domesticflight_amount,internationalflight_amount,train_amount,max_route_rate,max_train_rate,max_car_price,Loyality Score,Recency,num_delay_payment,avg_date_diff_payment,delay_total_amount,num_loan,total_loan_amount,,id
107622619,92,8,0,86480980,1172400,3930953.636,53290.90909,0,0,0,0,0,149,0,0,0,0,0,0,5,18,23,1.913043478,7883710,1,4627395000,,0
61033028,37,12,0,242054839,13892000,8964994.037,514518.5185,0,3819000,0,1,0,800,0,0,0,0,0,0,12,1,1,3,2522610,1,7204574160,,1
43884135,224,9,0,13098762,1303190,1007597.077,142441.4276,0,0,0,0,0,899,0,0,0,0,0,0,0,28,0,0,0,1,1591107840,,2
80371807,1235,22,0,581989950,442150,38799330,29476.66667,0,0,0,0,0,311,0,0,0,0,0,0,166,1,1,1,117770,1,699553800,,3
160760006,39,2,0,1568141438,193934000,58171905.11,7182740.741,2500000,0,0,0,0,349,0,0,0,0,0,0,68,24,2,1,5382440,1,10850999040,,4
32911807,7,1,0,320711690,311865000,21380779.33,11994807.69,0,0,0,0,0,149,0,0,0,0,0,0,16,2,3,1,656100,1,7085880000,,5
76711591,202,3,0,2080874870,542598500,74316959.64,19378517.86,0,0,0,0,0,300,0,0,0,0,0,0,28,16,1,1,71240,1,2308176000,,6
9436938,176,2,1448128,649341990,41300000,23190785.36,1475000,0,0,0,0,0,170,0,0,0,0,0,0,133,1,10,1.6,1233900,1,1954497600,,7
88273803,66,11,35935,965998350,87429430,34499941.07,3122479.643,0,0,0,0,0,298,0,0,0,0,0,0,4,21,0,0,0,1,8645978880,,8
27758005,149,30,1043600,608762660,12663200,22546765.19,469007.4074,0,0,0,1,0,800,0,0,0,0,0,0,7,81,41,14.58536585,34308300,2,13810881600,,9
56725090,152,5,530954,1850188172,1074291000,77091173.83,38367535.71,0,0,0,0,0,99,0,0,0,0,0,0,317,3,17,44.35294118,28265560,1,6703925760,,10
38463290,71,9,266513,3360702668,646102000,120025095.3,23075071.43,0,0,0,0,0,349,0,0,0,0,0,0,296,1,15,35.73333333,63024750,1,10588158000,,11
107888768,146,18,0,220717066,612121300,24524118.44,27823695.45,0,0,0,0,0,150,0,0,0,0,0,0,4,11,73,12.97260274,24137450,1,10713060000,,12
46787029,367,27,0,9453580362,211361000,337627870.1,7548607.143,0,0,0,0,0,800,0,0,0,0,0,0,370,1,0,0,0,1,38523600,,13
45413647,102,11,603200,2724484747,518308500,97303026.68,18511017.86,0,0,0,0,0,800,0,0,0,0,0,0,114,1,0,0,0,1,5371965000,,14
60998795,787,10,0,12497285850,1046000,462862438.9,38740.74074,0,0,0,0,0,549,0,0,0,0,0,0,350,2,0,0,0,1,1782972000,,15
95067965,54,1,0,2833245127,217375000,123184570.7,8050925.926,0,0,0,0,0,415,0,28785000,0,2,0,0,44,6,12,12.08333333,42340200,1,9484204800,,16
110431338,36,34,0,45354000,1303190,15118000,142441.4276,0,0,0,0,0,400,0,0,0,0,0,0,0,58,4,8,10693520,1,3593022720,,17
41425097,192,4,0,429919420,122710000,28674628,5843333.333,200000,0,0,1,0,800,0,0,0,0,0,0,4,190,0,0,0,1,4835779200,,18
21233651,22,3,1731346,15547844562,2163424632,277640081.5,38632582.71,0,0,0,0,0,301,0,0,0,0,0,0,657,2,0,0,0,2,14639839200,,19
89557631,556,80,527787,2994361462,1063925000,106941480.8,33247656.25,0,0,0,0,0,449,0,3120409930,0,4,0,0,277,1,8,5,15466960,2,9347829120,,20
31201202,344,14,2000000,3146122624,626168000,112361522.3,15654200,0,0,0,0,0,798,146833000,0,0,4,0,0,95,6,1,2,3769360,1,10132039680,,21
19841534,146,7,0,1534134684,1303190,77056234.2,142441.4276,6990000,0,0,0,0,899,0,0,0,0,0,0,50,1,0,0,0,1,7977755520,,22
7562818,186,4,24348,91323600,81754940,6523114.286,3406455.833,0,0,0,0,0,149,0,0,0,0,0,0,13,3,180,5.594444444,47761050,2,14022646200,,23
141013256,825,41,0,2989047560,2908577000,213503397.1,103877750,0,0,0,0,0,419,0,0,0,0,0,0,102,1,0,0,0,1,5460152880,,24
36937199,59,3,464829,19581830,1874500,1223864.375,117156.25,0,0,0,0,0,149,0,0,0,0,0,0,1,13,0,0,0,2,4104030240,,25
42899783,319,4,291567,23703290,4561300,3950548.333,760216.6667,0,0,0,0,0,170,0,0,0,0,0,0,0,246,180,231.9666667,17566200,1,3161916000,,26
